prop1;prop2;prop3;allprop
-0.250099;0.92344314;-1.0149062;[-0.17299773  0.6760089  -0.86280245]
0.04742772;0.9952827;-0.20100054;[-0.01122494  0.8147868  -0.21589342]
-0.18484594;0.088820584;-0.60517853;[-0.05050911 -0.03043275 -0.5860468 ]
-0.5492426;0.77742124;-0.34899446;[-0.42469412  0.6296104  -0.32032496]
-0.6318876;0.811964;-0.5587195;[-0.49478483  0.6011143  -0.54948354]
-0.30282378;0.3560906;-0.1754427;[-0.03251202  0.24293268 -0.14039385]
-0.41629845;-0.09106824;-0.2844786;[-0.27573    -0.1347862  -0.28110516]
-0.5241876;1.238407;-0.09201302;[-0.40255356  1.072055    0.00109306]
-0.64593685;0.81305164;-0.39362994;[-0.64694035  0.78557175 -0.37461635]
-0.83992416;1.6406775;-0.7329558;[-0.87272036  1.4752699  -0.7462892 ]
-0.16602613;0.36836672;-0.07149483;[ 0.00291002  0.2437443  -0.10805956]
-0.8346587;1.6501142;-0.31025398;[-0.7877799  1.4923393 -0.4747067]
-1.2410938;2.2341049;0.81625193;[-0.9691819  2.0199697  0.7229255]
-0.69227034;1.3387207;0.72950613;[-0.57347226  1.1844729   0.52530426]
-0.46173102;1.2562904;0.012474179;[-0.37573177  1.0843898   0.0544184 ]
-0.64564675;0.8090538;-0.62184083;[-0.48147357  0.67979276 -0.511644  ]
-0.44518584;0.43490022;0.5863787;[-0.20160367  0.3463956   0.31090716]
-0.89662796;1.4157454;0.85004556;[-0.8706466   1.2947416   0.74277586]
-0.5848768;0.7317876;-0.17704362;[-0.46765012  0.60818195 -0.16049232]
-0.42461342;-0.09596072;-0.18922585;[-0.3351773  -0.12816596 -0.17183962]
-0.9432648;1.6339828;-0.07948905;[-0.88204515  1.4487041  -0.13718711]
-0.9448549;1.63884;-0.6642718;[-0.9301188  1.4808806 -0.7062545]
-0.68839663;0.7688195;-0.095788255;[-0.5896092   0.63700914 -0.11538917]
-0.7535772;1.850408;-0.09313175;[-0.7823888   1.7911316  -0.21592593]
0.11777072;0.0813803;-0.13190697;[ 0.21245654 -0.03983547 -0.27868557]
0.66965455;0.5843319;-0.06453335;[ 0.5767195   0.44011867 -0.04938943]
-0.3315876;0.10444845;-1.0908706;[-0.37389022  0.02094436 -0.9413913 ]
0.62136596;0.058559373;-0.023055244;[ 0.6979681   0.01839212 -0.0626243 ]
0.50265765;1.3555939;-0.023504194;[ 0.50979936  1.1677017  -0.09706348]
0.51403975;0.9947057;0.11966327;[0.55587643 0.8352417  0.09391288]
2.9897456;0.43573582;-0.39670444;[ 3.9818473 -0.0369315 -0.5939123]
14.819362;0.76688534;5.2842674;[19.029428   0.4936067  7.598837 ]
-0.08585413;1.0206226;-0.031593766;[-0.04899104  0.85138464 -0.06448399]
-0.5839731;1.2790352;-0.5602006;[-0.46234667  1.0390462  -0.5518957 ]
-0.8419684;1.6308471;-0.91808754;[-0.92761064  1.4883932  -1.0044196 ]
-0.61477184;1.288271;0.25826436;[-0.44530398  1.1412015   0.26576737]
-0.6412434;0.7763884;-0.07776691;[-0.5309726   0.6437533  -0.25710467]
-0.59732497;0.7931193;-0.61745405;[-0.52175176  0.64143    -0.6695651 ]
-0.9897384;1.6715462;0.10518205;[-0.96632445  1.5100294  -0.02842247]
-0.9367834;1.6595489;-0.7091415;[-0.94418263  1.4982399  -0.74943614]
-0.61439556;0.79888016;-0.5138021;[-0.49478918  0.65807974 -0.4471776 ]
-1.2304244;1.7302809;-0.31118685;[-1.0807165  1.6397885 -0.2885622]
-0.7794766;0.87241715;-0.21812195;[-0.71822554  0.7942309  -0.2392157 ]
0.065936096;1.0609515;-0.36385933;[ 0.13217033  0.90519637 -0.41547835]
0.8902654;0.16214418;-1.4243112;[ 0.8267134   0.07386816 -1.3391082 ]
-0.5780124;0.72189325;-0.619612;[-0.4982711  0.6059872 -0.6614226]
-1.3912493;2.4816358;-0.8228138;[-1.3994144  2.2886086 -0.9240522]
1.0334599;1.8332151;-3.152607;[ 0.8559908  1.4496632 -2.369638 ]
-1.0463914;1.7035904;-0.48483312;[-0.9985701   1.5834258  -0.42980608]
-1.0214466;1.6722168;-0.35870105;[-1.0441841   1.6043946  -0.32115343]
1.0496819;1.0237963;-1.1174331;[ 0.9238414  0.7701799 -1.1374593]
0.5448631;-0.23912571;-0.28321564;[ 0.56437695 -0.2740044  -0.35348812]
0.89261264;-0.725031;-1.3329328;[ 0.9226276  -0.74085844 -1.342755  ]
0.139759;0.84037954;-0.24384335;[ 0.05850406  0.6867734  -0.4178041 ]
-0.055211857;0.84372574;-0.27938685;[-0.05278231  0.73843014 -0.49720293]
-0.0070589483;-0.2953658;-0.46999472;[ 0.03324814 -0.36775833 -0.5159914 ]
-0.0015899017;0.6045906;-0.31719995;[-0.00456581  0.482769   -0.34347486]
0.30642688;0.098367885;-0.2977023;[ 0.30359998  0.04468831 -0.27047852]
0.030467898;-0.70958805;-0.4843421;[ 0.1413593  -0.7549596  -0.53841776]
0.13962811;-0.6537704;-0.21251631;[ 0.156077  -0.7640674 -0.3503107]
-0.084039584;0.0721491;-0.22270423;[-0.04603206 -0.06861262 -0.49491507]
0.052131817;0.49810994;-0.25094545;[ 0.10095485  0.36943346 -0.39809576]
0.08464107;1.4008869;-0.1323464;[ 0.0128717   1.1976391  -0.23173168]
-0.03435974;0.52221507;-0.36174044;[ 0.04341547  0.3595429  -0.42299557]
-0.29096806;-0.35092592;-0.5788007;[-0.12462552 -0.39955378 -0.6775823 ]
-0.014441267;0.11794591;-0.12992924;[-0.05027775  0.10152329 -0.2689838 ]
