prop1;prop2;prop3;allprop
2.4897954;81.24511;-0.25228044;[ 2.65806    82.96039    -0.25030643]
2.6344478;81.40711;-0.24416609;[ 2.6583943  83.058304   -0.25030494]
2.4618993;74.52212;-0.24755535;[ 2.63382    75.631096   -0.25040272]
1.865511;80.479774;-0.24018303;[ 2.6543646  81.84138    -0.25032598]
1.8085265;80.6816;-0.24169523;[ 2.6542666  81.80769    -0.25032616]
2.312092;77.58419;-0.229913;[ 2.6445858 78.877075  -0.2503636]
2.083804;74.064064;-0.23924938;[ 2.6294665 74.315414  -0.2504263]
2.031156;84.17606;-0.22967653;[ 2.6671882  85.72295    -0.25027445]
1.5916587;80.80183;-0.24017991;[ 2.6545305  81.89551    -0.25032482]
1.5521005;87.125084;-0.2485066;[ 2.6756573  88.27544    -0.25024164]
2.3148496;77.61042;-0.23065077;[ 2.641259   77.872444   -0.25037846]
1.610887;87.00063;-0.24598144;[ 2.6759062  88.36069    -0.25024104]
1.4860089;91.21592;-0.22286671;[ 2.6917078  93.13408    -0.25017715]
1.7223835;84.7568;-0.2225158;[ 2.6680658  85.985794   -0.25027093]
2.040145;84.03994;-0.23042195;[ 2.6649323  85.043304   -0.25028417]
1.737031;80.06763;-0.24239098;[ 2.651442  80.96992   -0.2503368]
2.0003834;78.33855;-0.22270063;[ 2.6443126  78.7909     -0.25036559]
1.5807166;84.57723;-0.22176158;[ 2.6685905  86.14154    -0.25026938]
1.809429;80.258095;-0.23957074;[ 2.6530464 81.445175  -0.2503303]
2.0248578;73.60397;-0.240214;[ 2.6282792  73.958115   -0.25042993]
1.510936;86.80665;-0.2410294;[ 2.6765983  88.57621    -0.25023767]
1.5219738;87.4609;-0.24576697;[ 2.6766102  88.58752    -0.25023964]
1.7469133;79.991844;-0.24000011;[ 2.651709  81.05659   -0.2503362]
1.6581924;89.71827;-0.24596086;[ 2.6821084  90.21104    -0.25020373]
2.639932;74.94836;-0.24338499;[ 2.6331313 75.42035   -0.250405 ]
3.2342472;78.73554;-0.23743151;[ 2.6482606  79.99126    -0.25034282]
2.3161528;75.4889;-0.25864914;[ 2.6347365  75.901306   -0.25039628]
3.0559669;75.969574;-0.23166688;[ 2.6382384 76.96209   -0.250383 ]
3.032219;84.83959;-0.23840211;[ 2.6698163  86.52732    -0.25025982]
3.0296392;82.54798;-0.2308152;[ 2.6616635  84.05698    -0.25029075]
6.0868883;78.70707;-0.23184642;[ 2.6495364 80.38783   -0.2503414]
12.699111;78.71464;-0.22827579;[ 2.6488416  80.1651     -0.25034216]
2.598126;80.91101;-0.24185485;[ 2.6577098  82.861404   -0.25030807]
1.8170462;83.6963;-0.24531898;[ 2.6623244  84.25223    -0.25029385]
1.5337714;86.85604;-0.25216514;[ 2.674881   88.05376    -0.25024596]
1.8036647;84.34394;-0.22392496;[ 2.6656065  85.24423    -0.25028238]
1.7915897;80.91007;-0.23864567;[ 2.6511896  80.889915   -0.25033885]
1.7907068;80.55637;-0.24719204;[ 2.6521995  81.19356    -0.25033706]
1.5053394;87.24781;-0.23785718;[ 2.6738338  87.75351    -0.25024968]
1.4877477;86.93156;-0.2481188;[ 2.6753898  88.22107    -0.25024426]
1.7213421;80.04952;-0.24266113;[ 2.6518621  81.105484   -0.25033614]
