prop1;prop2;prop3;allprop
2.3416665;80.72228;-0.2470387;[ 2.2848473  82.88147    -0.23211281]
2.664971;81.19714;-0.24177586;[ 2.3190486 83.25858   -0.2316469]
2.3702347;74.34144;-0.24615778;[ 2.4180832  76.199066   -0.23469223]
1.859561;79.800606;-0.24370348;[ 2.2008364 81.472755  -0.2326182]
1.8306326;79.892395;-0.24525236;[ 2.1945481 81.801994  -0.2324028]
2.2388797;77.045395;-0.23358029;[ 2.3542895  78.54891    -0.23392586]
2.1096978;72.931595;-0.24058767;[ 2.2976367  74.66432    -0.23541188]
1.8572023;83.88675;-0.23112945;[ 2.2641883  85.725395   -0.23100142]
1.6965946;79.855225;-0.24192749;[ 2.2917268  81.83059    -0.23215882]
1.3952994;86.2692;-0.25350714;[ 2.0975554  88.38421    -0.22971639]
2.3920481;76.4581;-0.232898;[ 2.3544142  78.229385   -0.23413487]
1.4775465;86.17854;-0.25351343;[ 2.1033943  88.63481    -0.22966126]
1.0173429;90.47259;-0.22278188;[ 2.1538866  93.2336     -0.22796658]
1.6028216;83.642784;-0.22323832;[ 2.2620275 86.05724   -0.2309841]
1.9256799;83.27977;-0.23061019;[ 2.2649844  85.40425    -0.23120293]
1.7084732;79.11521;-0.24356386;[ 2.273592   81.28608    -0.23276678]
2.1116323;76.82112;-0.22504845;[ 2.351458  78.88277   -0.2339158]
1.1752067;84.10046;-0.22227225;[ 2.292664  86.417305  -0.2305921]
1.7841766;79.27816;-0.24410953;[ 2.2598665  80.92029    -0.23298785]
2.0118506;72.461235;-0.24529675;[ 2.3569145  74.128      -0.23577422]
1.260381;86.10387;-0.24315858;[ 2.1669185  88.28326    -0.22991355]
1.2420465;86.34082;-0.25627244;[ 2.1193209  88.6587     -0.22976983]
1.6287632;79.28255;-0.24344075;[ 2.267022   81.28454    -0.23286341]
1.5877287;88.49876;-0.24328065;[ 1.9326925  93.544334   -0.22891714]
3.0391555;73.87413;-0.24284951;[ 2.423533  75.385315  -0.2352538]
3.6917877;78.060684;-0.24059546;[ 2.470959   79.58662    -0.23379543]
2.2442045;73.70865;-0.2550276;[ 2.4702713  75.179665   -0.23532721]
3.6270704;75.386055;-0.23608343;[ 2.647037   76.36044    -0.23544115]
3.426874;84.758255;-0.24005197;[ 2.4046574  86.30993    -0.23113255]
3.7108746;82.1779;-0.23427887;[ 2.5520132  83.81303    -0.23230949]
6.627607;77.557144;-0.23825599;[ 2.4909625  79.31858    -0.23392141]
23.144207;78.53487;-0.23178494;[ 2.596067   78.99351    -0.23424031]
2.8929472;81.153305;-0.23861901;[ 2.36295    82.976364   -0.23190603]
1.8714451;83.037636;-0.25360918;[ 2.133435   85.66529    -0.23068325]
1.352459;86.30871;-0.25612476;[ 2.1017427  88.39422    -0.22997592]
1.7940207;83.28204;-0.22578534;[ 2.2500525  85.50283    -0.23143134]
1.7864164;79.10364;-0.24313807;[ 2.262653   81.30274    -0.23282954]
1.834933;79.482864;-0.25007156;[ 2.2050433  81.520355   -0.23273596]
1.2363149;85.89928;-0.24216735;[ 2.172755   88.56017    -0.22981358]
1.247003;86.30062;-0.25567997;[ 2.1161637  88.70345    -0.22978991]
1.7847934;79.21022;-0.24204901;[ 2.2677023  81.32873    -0.23283881]
0.6770477;86.76337;-0.24076621;[ 2.1451015  89.08274    -0.22941242]
1.58793;79.67749;-0.2399522;[ 2.296837   81.69797    -0.23246326]
2.3605406;79.420586;-0.2418708;[ 2.408296   81.8517     -0.23218341]
3.9321575;74.21667;-0.2643538;[ 2.5917664  75.86678    -0.23517376]
1.9372911;79.36348;-0.24831776;[ 2.37936    81.42323    -0.23233879]
0.5260956;93.01257;-0.25688082;[ 2.1803455  95.74286    -0.22644556]
4.0096717;87.73779;-0.27889863;[ 2.343825  90.14281   -0.2294149]
1.0060196;86.18408;-0.2448454;[ 2.3483486  88.71941    -0.22912735]
0.8479655;86.64436;-0.24256125;[ 2.3187768  89.00803    -0.22899748]
4.099152;81.36958;-0.25934514;[ 2.4820366  83.40333    -0.23197237]
3.778467;71.65414;-0.24302569;[ 2.5571918  72.84319    -0.23666455]
3.938021;67.56876;-0.26492718;[ 2.5299425  68.41868    -0.23818249]
2.7274184;80.402084;-0.24743721;[ 2.177276   83.24044    -0.23345959]
2.45035;80.10562;-0.2477797;[ 2.2604685  84.590355   -0.23249193]
2.6524777;71.763596;-0.24692354;[ 2.5715945  72.98406    -0.23646784]
2.514365;78.57866;-0.24432994;[ 2.4765933  80.42219    -0.23335448]
3.0257971;75.729706;-0.24396577;[ 2.6579442  76.909386   -0.23525634]
2.7862444;68.77219;-0.24748059;[ 2.7693748  69.51104    -0.23829153]
2.759254;69.146835;-0.24701211;[ 2.7896976  70.166145   -0.23770729]
2.4303029;74.44745;-0.24787869;[ 2.4158554  76.402596   -0.23445666]
2.797165;77.44357;-0.24336886;[ 2.3657947  78.918686   -0.23393661]
2.5770211;84.26287;-0.24289179;[ 2.2708836  86.32804    -0.23083898]
2.311407;77.137314;-0.24361941;[ 2.4271686  78.78655    -0.23398338]
1.9623313;70.30985;-0.24860972;[ 2.5242596  71.74506    -0.23695908]
2.3674393;74.82752;-0.23736534;[ 2.5626736 76.245995  -0.2350368]
3.6690369;77.49921;-0.27515614;[ 2.6742823  78.83881    -0.23386207]
4.595696;72.16955;-0.3003773;[ 2.8392017  73.348656   -0.23677686]
3.5592208;84.31885;-0.27805826;[ 2.5753605  86.36321    -0.23073836]
4.7712283;78.98918;-0.30319837;[ 2.7403212  80.88433    -0.23364711]
3.4560397;81.58132;-0.25567967;[ 2.7654939  83.1208     -0.23221962]
4.472869;76.97082;-0.26419526;[ 2.903622   78.22034    -0.23469174]
3.4112167;77.86159;-0.26683402;[ 2.7341192  79.32584    -0.23321804]
4.5556097;72.53217;-0.28779227;[ 2.8966722 73.81231   -0.2361421]
3.5108557;74.77271;-0.25797614;[ 2.8636923  75.61086    -0.23534688]
4.3648863;69.43918;-0.27636054;[ 3.0266352  70.10732    -0.23826942]
4.6424446;73.852806;-0.2558972;[ 3.10837    74.118965   -0.23699683]
3.6522715;75.05785;-0.2521535;[ 2.8895788  75.294914   -0.23554821]
1.9498568;76.1779;-0.25215325;[ 2.6363583 77.33912   -0.233539 ]
3.5857792;70.64052;-0.27490404;[ 2.8003714  71.626396   -0.23659101]
2.168446;77.74123;-0.25009304;[ 2.5746458  79.369026   -0.23308304]
0.9433845;89.62364;-0.24014127;[ 2.023694  94.756935  -0.2278175]
1.5320691;89.12478;-0.24255887;[ 2.005845   94.24164    -0.22822692]
6.0374637;70.92123;-0.23809706;[ 2.5867686  71.900444   -0.23717071]
3.3542619;78.17377;-0.24056262;[ 2.5393226  79.60082    -0.23363878]
3.167245;77.79225;-0.24234678;[ 2.5128596  79.10272    -0.23412803]
3.1697807;70.956535;-0.24333474;[ 2.6027617  71.901375   -0.23708361]
4.949348;71.328865;-0.23694128;[ 2.5612009 72.84195   -0.2364142]
3.2911117;71.36396;-0.2423475;[ 2.6301944  72.34231    -0.23663925]
2.1463664;76.25379;-0.24742635;[ 2.2155757 78.29943   -0.2335712]
0.3090098;96.72032;-0.26461965;[  1.920986  100.0378     -0.2246286]
1.2358034;89.92029;-0.2558212;[ 2.0327003 92.67104   -0.2277306]
